지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi)
108,서울,2003-01-01,-4.7,-7.1,2231,-1,1546
108,서울,2003-01-02,-4.3,-9.2,447,0,1421
108,서울,2003-01-03,-3.6,-6.8,2358,-.3,1405
108,서울,2003-01-04,-10.2,-13.4,2356,-6.8,0
108,서울,2003-01-05,-12.8,-15.5,744,-9.1,1556
108,서울,2003-01-06,-9.2,-14.3,546,-4.3,1555
108,서울,2003-01-07,-5.6,-10.5,727,-.5,1511
108,서울,2003-01-08,-3.3,-8.6,816,1.2,1609
108,서울,2003-01-09,.5,-2.4,533,4.3,1443
108,서울,2003-01-10,.7,-1.7,806,4.4,1542
108,서울,2003-01-11,.6,-3.3,802,4.9,1537
108,서울,2003-01-12,3.9,0,751,8,1459
108,서울,2003-01-13,5.5,2.7,2359,8.7,1503
108,서울,2003-01-14,-2.2,-5.9,2323,2.7,0
108,서울,2003-01-15,-3.9,-7.7,729,.6,1526
108,서울,2003-01-16,-.1,-4.8,746,3.2,1555
108,서울,2003-01-17,2.8,1.9,2158,4.2,1725
108,서울,2003-01-18,1.9,.7,2230,3.8,1550
108,서울,2003-01-19,.9,-.8,750,2.6,1236
108,서울,2003-01-20,-.7,-3.2,2357,3,1425
108,서울,2003-01-21,-2.1,-5.6,705,1.8,1453
108,서울,2003-01-22,-2.1,-2.9,2158,-.8,1534
108,서울,2003-01-23,-1.3,-4.3,649,3.1,1500
108,서울,2003-01-24,-1.6,-4.7,742,2.5,1509
108,서울,2003-01-25,.3,-5,809,4.7,1439
108,서울,2003-01-26,2.7,1.8,2,4.2,1059
108,서울,2003-01-27,-1.7,-6.1,2350,2.8,139
108,서울,2003-01-28,-8.1,-11.9,2357,-4.1,1411
108,서울,2003-01-29,-11.7,-13.9,730,-8.5,1601
108,서울,2003-01-30,-7.2,-13.2,802,-1.9,1617
108,서울,2003-01-31,-2.5,-5.1,129,.8,1514
108,서울,2003-02-01,-1.3,-6.7,737,4.5,1530
108,서울,2003-02-02,-.6,-4.6,752,4.1,1441
108,서울,2003-02-03,-.6,-4.4,654,4.2,1518
108,서울,2003-02-04,.6,-1.2,237,3.9,1519
108,서울,2003-02-05,-.3,-2.8,502,3.9,1510
108,서울,2003-02-06,.5,-4.5,743,4.9,1532
108,서울,2003-02-07,4.3,1.6,616,6.7,1650
108,서울,2003-02-08,4.5,3.1,2247,6,1644
108,서울,2003-02-09,4.6,.5,652,8.8,1531
108,서울,2003-02-10,5.5,2.1,547,10.3,1503
108,서울,2003-02-11,-.6,-6,2353,4.1,0
108,서울,2003-02-12,-4.1,-8.3,733,-.4,1552
108,서울,2003-02-13,1.5,-2.4,0,5.6,1451
108,서울,2003-02-14,2.7,-1,653,7.5,1525
108,서울,2003-02-15,4,-.2,718,9.7,1455
108,서울,2003-02-16,4.3,.3,604,9.5,1550
108,서울,2003-02-17,4.1,-.4,721,9.6,1445
108,서울,2003-02-18,4.1,1.5,247,7.1,1548
108,서울,2003-02-19,2.2,.8,2353,4,1612
108,서울,2003-02-20,3.3,-.7,706,8.5,1613
108,서울,2003-02-21,3.5,1.5,2340,6.4,1302
108,서울,2003-02-22,3.8,1.3,51,4.9,1410
108,서울,2003-02-23,2.8,1.9,1917,3.7,1539
108,서울,2003-02-24,3.7,1.6,635,7.6,1414
108,서울,2003-02-25,4.3,1.5,607,9.1,1618
108,서울,2003-02-26,4.9,3.5,2331,8.5,1634
108,서울,2003-02-27,6.1,1.2,403,11.4,1537
108,서울,2003-02-28,6.6,1.6,702,11.9,1445
108,서울,2003-03-01,6.5,4,2352,10.2,1453
108,서울,2003-03-02,4.3,1.4,718,7.2,1524
108,서울,2003-03-03,.4,-2.7,2344,4.4,1
108,서울,2003-03-04,-1,-5,724,2.9,1557
108,서울,2003-03-05,2.5,-1.3,652,6.9,1652
108,서울,2003-03-06,3.4,1.7,933,4.1,0
108,서울,2003-03-07,2.8,1.1,2345,3.8,55
108,서울,2003-03-08,2.6,.8,55,4.8,1248
108,서울,2003-03-09,3.4,0,432,7,1507
108,서울,2003-03-10,4.6,.3,437,9,1545
108,서울,2003-03-11,5.6,.5,652,11,1426
108,서울,2003-03-12,6.6,3.5,720,11.7,1455
108,서울,2003-03-13,5.8,1.7,706,10.7,1410
108,서울,2003-03-14,5.8,1.2,719,10.1,1354
108,서울,2003-03-15,8.3,4.3,728,13.4,1418
108,서울,2003-03-16,6.8,4.6,2359,8.5,847
108,서울,2003-03-17,6.2,3.1,357,10.1,1653
108,서울,2003-03-18,6.7,2.1,650,11.9,1511
108,서울,2003-03-19,7.1,2,700,12.4,1443
108,서울,2003-03-20,7.9,1.4,658,14.2,1520
108,서울,2003-03-21,9.8,6.3,610,14,1339
108,서울,2003-03-22,9.8,5.4,650,14.9,1544
108,서울,2003-03-23,9,5.9,634,12.4,1624
108,서울,2003-03-24,8.6,5.6,627,11.6,1609
108,서울,2003-03-25,6.9,5.4,2239,10.6,1430
108,서울,2003-03-26,9.9,4.9,228,16.3,1455
108,서울,2003-03-27,8.1,5.6,2332,11.2,7
108,서울,2003-03-28,6.6,3.2,528,11.3,1618
108,서울,2003-03-29,8,2,639,13,1334
108,서울,2003-03-30,12.3,8.4,217,17.1,1552
108,서울,2003-03-31,16,11.4,14,20.9,1603
108,서울,2003-04-01,16.4,11.3,624,22.4,1556
108,서울,2003-04-02,14.9,10.2,646,21,1517
108,서울,2003-04-03,13.9,8.6,646,19.8,1347
108,서울,2003-04-04,14.2,10.3,711,19.3,1353
108,서울,2003-04-05,12,7.6,641,17.7,1346
108,서울,2003-04-06,12,7,653,18.3,1425
108,서울,2003-04-07,11,7.4,2226,17.1,1236
108,서울,2003-04-08,10.1,7.6,0,14.4,1508
108,서울,2003-04-09,8.2,5.8,656,11.6,1708
108,서울,2003-04-10,11.3,4.8,459,18.1,1548
108,서울,2003-04-11,9.7,8.2,845,12.7,335
108,서울,2003-04-12,10.2,8.3,2349,13.4,1314
108,서울,2003-04-13,11.7,6.8,602,17.8,1631
108,서울,2003-04-14,13.7,8.6,632,19.3,1430
108,서울,2003-04-15,14.4,7.9,605,19.9,1410
108,서울,2003-04-16,16.6,10.6,629,23.5,1411
108,서울,2003-04-17,19.1,12.9,228,23.4,1410
108,서울,2003-04-18,16.9,10.1,2326,21.4,937
108,서울,2003-04-19,10.3,8.3,310,12.1,1517
108,서울,2003-04-20,9.5,8.8,2358,10.6,1225
108,서울,2003-04-21,13.2,6.6,522,19.5,1557
108,서울,2003-04-22,12.2,10.7,608,15.3,1402
108,서울,2003-04-23,11.6,9,500,14.8,1511
108,서울,2003-04-24,14.8,9.1,603,19.6,1318
108,서울,2003-04-25,12.3,10.2,2351,14.8,0
108,서울,2003-04-26,14.4,8.6,443,19.8,1440
108,서울,2003-04-27,15.4,11.7,405,19.6,1256
108,서울,2003-04-28,17.7,11.1,532,24.6,1448
108,서울,2003-04-29,13.2,11.4,2359,15.6,0
108,서울,2003-04-30,13.9,9.8,538,18.8,1451
108,서울,2003-05-01,15.9,8.5,557,21.9,1653
108,서울,2003-05-02,17.6,12,542,23,1404
108,서울,2003-05-03,18.1,11,619,24.3,1523
108,서울,2003-05-04,20.9,14.3,610,27.7,1457
108,서울,2003-05-05,22.4,15.3,616,28.9,1528
108,서울,2003-05-06,18.4,16.2,1454,22.3,1140
108,서울,2003-05-07,14.7,9.3,2129,18.4,1302
108,서울,2003-05-08,14.3,9.4,534,19.4,1444
108,서울,2003-05-09,14.7,9.3,534,19.5,1301
108,서울,2003-05-10,15.9,10.5,536,22.5,1547
108,서울,2003-05-11,17.2,11.5,605,23.2,1429
108,서울,2003-05-12,18.6,12.4,613,24.4,1451
108,서울,2003-05-13,21.2,14.1,513,28.1,1457
108,서울,2003-05-14,22.3,15.8,559,29.1,1426
108,서울,2003-05-15,21.1,15.9,508,26.6,1525
108,서울,2003-05-16,20.3,15.4,608,26.2,1502
108,서울,2003-05-17,19.6,15.6,2352,25.1,1419
108,서울,2003-05-18,17.7,14,424,23.5,1417
108,서울,2003-05-19,18.4,13.3,517,24.5,1449
108,서울,2003-05-20,18.5,15.3,543,22.9,1440
108,서울,2003-05-21,19.3,13.2,623,26,1536
108,서울,2003-05-22,20.7,15.2,551,27.6,1444
108,서울,2003-05-23,20.9,14.8,544,26.4,1250
108,서울,2003-05-24,20.5,16.5,2335,25.6,1351
108,서울,2003-05-25,17.3,15.3,626,19.8,1606
108,서울,2003-05-26,21.7,16,540,27.7,1538
108,서울,2003-05-27,23.9,17.4,529,29.5,1450
108,서울,2003-05-28,25.2,19.2,552,30.4,1407
108,서울,2003-05-29,23,21.8,610,24.4,1
108,서울,2003-05-30,21.7,19.1,830,25.2,1629
108,서울,2003-05-31,24.1,18.3,523,30.3,1537
108,서울,2003-06-01,23.5,18.5,608,28.5,1425
108,서울,2003-06-02,22.6,16.4,549,28.4,1428
108,서울,2003-06-03,22,16.7,534,27.5,1302
